Package,Current_Version,Latest_Version,Ecosystem,CVEs_Current,Fixed_If_Upgraded,Still_Affected,Unknown,Net_Reduction,Recommendation
apt,2.6.1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
binutils,2.40-2,unknown,debian,45,0,45,0,-0,"NO BENEFIT: None of the 45 CVEs are fixed in latest version"
bsdutils,1:2.38.1-5+deb12u3,unknown,debian,2,0,0,2,-0,"INVESTIGATE: 2 CVEs with unknown fix status"
coreutils,9.1-1,unknown,debian,3,0,3,0,-0,"NO BENEFIT: None of the 3 CVEs are fixed in latest version"
cpp-12,12.2.0-14+deb12u1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
curl,7.88.1-10+deb12u14,unknown,debian,9,0,9,0,-0,"NO BENEFIT: None of the 9 CVEs are fixed in latest version"
diff,5.2.0,8.0.3,npm,1,0,0,1,-0,"INVESTIGATE: 1 CVEs with unknown fix status"
dpkg,1.21.22,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
glob,10.4.5,13.0.1,npm,1,0,0,1,-0,"INVESTIGATE: 1 CVEs with unknown fix status"
gpgv,2.2.40-1.1+deb12u2,unknown,debian,3,0,3,0,-0,"NO BENEFIT: None of the 3 CVEs are fixed in latest version"
krb5-locales,1.20.1-2+deb12u4,unknown,debian,3,0,3,0,-0,"NO BENEFIT: None of the 3 CVEs are fixed in latest version"
libaom3,3.6.0-1+deb12u2,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
libc-bin,2.36-9+deb12u13,unknown,debian,10,0,10,0,-0,"NO BENEFIT: None of the 10 CVEs are fixed in latest version"
libdav1d6,1.0.0-2+deb12u1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libde265-0,1.0.11-1+deb12u2,unknown,debian,3,0,3,0,-0,"NO BENEFIT: None of the 3 CVEs are fixed in latest version"
libexpat1,2.5.0-1+deb12u2,unknown,debian,6,0,6,0,-0,"NO BENEFIT: None of the 6 CVEs are fixed in latest version"
libgcrypt20,1.10.1-3,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
libgnutls30,3.7.9-2+deb12u5,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
libheif1,1.15.1-1+deb12u1,unknown,debian,3,0,3,0,-0,"NO BENEFIT: None of the 3 CVEs are fixed in latest version"
libjansson4,2.14-2,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libjbig0,2.1-6.1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libldap-2.5-0,2.5.13+dfsg-5,unknown,debian,6,0,6,0,-0,"NO BENEFIT: None of the 6 CVEs are fixed in latest version"
libpam-modules,1.5.2-6+deb12u2,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libpng16-16,1.6.39-2+deb12u1,unknown,debian,5,0,5,0,-0,"NO BENEFIT: None of the 5 CVEs are fixed in latest version"
libssl3,3.0.18-1~deb12u2,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libsystemd0,252.39-1~deb12u1,unknown,debian,4,0,4,0,-0,"NO BENEFIT: None of the 4 CVEs are fixed in latest version"
libtasn1-6,4.19.0-2+deb12u1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
libtiff6,4.5.0-6+deb12u3,unknown,debian,15,0,15,0,-0,"NO BENEFIT: None of the 15 CVEs are fixed in latest version"
libtinfo6,6.4-4,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
login,1:4.13+dfsg1-1+deb12u2,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
nodemailer,6.10.1,8.0.1,npm,2,0,0,2,-0,"INVESTIGATE: 2 CVEs with unknown fix status"
perl-base,5.36.0-7+deb12u3,unknown,debian,2,0,2,0,-0,"NO BENEFIT: None of the 2 CVEs are fixed in latest version"
tar,1.34+dfsg-1.2+deb12u1,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
tar,6.2.1,7.5.7,npm,3,0,0,3,-0,"INVESTIGATE: 3 CVEs with unknown fix status"
unzip,6.0-28,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
zip,3.0-13,unknown,debian,1,0,1,0,-0,"NO BENEFIT: None of the 1 CVEs are fixed in latest version"
