Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
node-forge,0.10.0,1.3.3,npm,node-forge,9,9,0,0,0,-9,"UPGRADE — all 9 CVEs fixed; no new CVEs"
handlebars,4.4.0,4.7.8,npm,handlebars,8,8,0,0,0,-8,"UPGRADE — all 8 CVEs fixed; no new CVEs"
elliptic,6.5.4,6.6.1,npm,elliptic,7,6,0,1,0,-6,"UPGRADE — 6/7 fixed; 0 remain; no new CVEs"
follow-redirects,1.9.0,1.15.11,npm,follow-redirects,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
lodash,4.17.15,4.17.23,npm,lodash,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
tar,4.4.19,7.5.9,npm,tar,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
loader-utils,1.2.3,3.3.1,npm,loader-utils,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
moment,2.18.1,2.30.1,npm,moment,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
postcss,7.0.14,8.5.6,npm,postcss,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
socket.io-parser,3.2.0,4.2.5,npm,socket.io-parser,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
@angular/compiler,8.2.14,21.1.4,npm,@angular/compiler,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
engine.io,3.2.1,6.6.5,npm,engine.io,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
express,4.18.2,5.2.1,npm,express,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
jszip,3.6.0,3.10.1,npm,jszip,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
karma,4.0.1,6.4.4,npm,karma,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
minimist,0.0.10,1.2.8,npm,minimist,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
path-to-regexp,0.1.7,8.3.0,npm,path-to-regexp,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
pbkdf2,3.1.2,3.1.5,npm,pbkdf2,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
qs,6.11.0,6.15.0,npm,qs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
serialize-javascript,1.9.1,7.0.2,npm,serialize-javascript,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
shelljs,0.8.3,0.10.0,npm,shelljs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
socket.io,2.1.1,4.8.3,npm,socket.io,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
tree-kill,1.2.1,1.2.2,npm,tree-kill,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,3.3.1,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
xmlhttprequest-ssl,1.5.5,4.0.0,npm,xmlhttprequest-ssl,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
xmldom,0.1.27,0.6.0,npm,xmldom,3,1,2,0,0,-1,"UPGRADE — 1/3 fixed; 2 remain; no new CVEs"
ip,1.1.5,2.0.1,npm,ip,2,1,0,1,0,-1,"UPGRADE — 1/2 fixed; 0 remain; no new CVEs"
@angular/common,8.2.14,21.1.4,npm,@angular/common,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
@angular/core,8.2.14,21.1.4,npm,@angular/core,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
@babel/traverse,7.6.0,7.29.0,npm,@babel/traverse,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
ajv,5.5.2,8.18.0,npm,ajv,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
ansi-html,0.0.7,0.0.9,npm,ansi-html,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
body-parser,1.20.1,2.2.2,npm,body-parser,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
brace-expansion,1.1.11,5.0.2,npm,brace-expansion,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
braces,2.3.2,3.0.3,npm,braces,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
browserify-sign,4.2.1,4.2.5,npm,browserify-sign,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
browserslist,4.5.5,4.28.1,npm,browserslist,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
